Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43767,986,123,14,5,"12,474.60","1,419.90",507.1
43768,497,19,N/A,N/A,"3,822.90",N/A,N/A
43771,"1,895",129,13,N/A,"6,807.40",686,N/A
43772,"1,880",138,12,N/A,"7,340.40",638.3,N/A
43773,"3,668",158,14,5,"4,307.50",381.7,136.3
43777,"4,823",327,63,17,"6,780.00","1,306.20",352.5
43778,"1,148",68,10,N/A,"5,923.30",871.1,N/A
43779,855,109,5,N/A,"12,748.50",584.8,N/A
43780,"1,697",167,11,N/A,"9,840.90",648.2,N/A
43782,673,54,13,N/A,"8,023.80","1,931.60",N/A
43783,"4,731",325,65,19,"6,869.60","1,373.90",401.6
43786,35,N/A,N/A,N/A,N/A,N/A,N/A
43787,"3,111",144,29,7,"4,628.70",932.20,225
43788,754,66,6,N/A,"8,753.30",795.8,N/A
43793,"4,901",457,71,12,"9,324.60","1,448.70",244.8
43802,"1,008",98,11,N/A,"9,722.20","1,091.30",N/A
43804,"3,786",195,6,N/A,"5,150.60",158.5,N/A
43805,81,N/A,N/A,N/A,N/A,N/A,N/A
43811,835,59,8,N/A,"7,065.90",958.10,N/A
43812,"18,640","1,169",123,25,"6,271.50",659.9,134.1
43821,"4,389",379,44,14,"8,635.20","1,002.50",319
43822,"5,115",338,42,10,"6,608.00",821.1,195.5
43824,"4,116",116,16,N/A,"2,818.30",388.7,N/A
43830,"5,775",594,94,23,"10,285.70","1,627.70",398.3
43832,"7,349",528,53,18,"7,184.70",721.2,244.9
43836,108,N/A,N/A,N/A,N/A,N/A,N/A
43837,"1,658",99,10,N/A,"5,971.00",603.1,N/A
43840,"1,253",73,6,N/A,"5,826.00",478.9,N/A
43842,330,37,7,N/A,"11,212.10","2,121.20",N/A
43843,"1,062",54,8,N/A,"5,084.70",753.3,N/A
43844,"3,519",253,20,5,"7,189.50",568.3,142.1
43845,"4,607",433,51,19,"9,398.70","1,107.00",412.4
43901,"1,984",146,21,9,"7,358.90","1,058.50",453.6
43902,116,11,N/A,N/A,"9,482.80",N/A,N/A
43903,"2,108",108,14,N/A,"5,123.30",664.1,N/A
43905,107,8,N/A,N/A,"7,476.60",N/A,N/A
43906,"8,643",533,126,30,"6,166.80","1,457.80",347.1
